iter	MultiClass
0	1.494867475
1	1.401521515
2	1.32430063
3	1.255755306
4	1.196270338
5	1.144403941
6	1.103826572
7	1.064197499
8	1.030612835
9	0.9974247581
10	0.9635348281
11	0.9370636265
12	0.909474579
13	0.8832515225
14	0.859390184
15	0.839474621
16	0.8209480495
17	0.803610366
18	0.7883605096
19	0.7709441463
20	0.7572231073
21	0.7453209213
22	0.7302167313
23	0.7175736191
24	0.7065688604
25	0.6956716143
26	0.6867286236
27	0.6782809216
28	0.6709211281
29	0.6614648372
30	0.6542535428
31	0.6427151239
32	0.6356164707
33	0.62932668
34	0.6191545026
35	0.610442449
36	0.6008128128
37	0.5945051585
38	0.58798682
39	0.5817487887
40	0.5764877213
41	0.5707467374
42	0.5638887681
43	0.5591912373
44	0.5536621896
45	0.5484630003
46	0.5434250953
47	0.5386654589
48	0.5335392702
49	0.5279716924
50	0.5236694841
51	0.5185138929
52	0.5151896382
53	0.5080894262
54	0.5043762614
55	0.5018700454
56	0.4980188816
57	0.4947926795
58	0.4883614334
59	0.4837174291
60	0.4801281964
61	0.4757903382
62	0.4733825538
63	0.4695085665
64	0.4654954141
65	0.4614825566
66	0.4591498524
67	0.4558221794
68	0.4515405016
69	0.4476674607
70	0.4435558427
71	0.4407925481
72	0.4377837719
73	0.4353334237
74	0.4316236719
75	0.4285328682
76	0.4266918039
77	0.4247111929
78	0.4226056766
79	0.4193448603
80	0.4171724555
81	0.4154936211
82	0.4136344816
83	0.4110371315
84	0.4079109575
85	0.4049027097
86	0.4025067747
87	0.4004543226
88	0.3978891131
89	0.3958082146
90	0.3940647697
91	0.3913435082
92	0.3893130406
93	0.3871416889
94	0.3846280953
95	0.3828666364
96	0.3807670925
97	0.3791288975
98	0.3769384417
99	0.3743633264
100	0.3717650218
101	0.3679497315
102	0.3666410687
103	0.3649974815
104	0.3619044846
105	0.36099894
106	0.3593252727
107	0.3580969933
108	0.3564657693
109	0.3546019985
110	0.3528564188
111	0.3503307568
112	0.3482614393
113	0.3466316566
114	0.344452826
115	0.34304164
116	0.3411388823
117	0.339799475
118	0.3384069794
119	0.3358090027
120	0.3346322529
121	0.3329860375
122	0.3310631331
123	0.3288220686
124	0.3271804183
125	0.3264752352
126	0.3249513175
127	0.3242025
128	0.3228730257
129	0.321405679
130	0.320136915
131	0.3188552542
132	0.3165460683
133	0.3154856286
134	0.3130872398
135	0.3119189959
136	0.3095396853
137	0.3081468988
138	0.306909292
139	0.3058504073
140	0.3048928044
141	0.3033355247
142	0.3025145147
143	0.3013350021
144	0.2999921776
145	0.2990146168
146	0.2981478264
147	0.2972305472
148	0.2951213189
149	0.2940674178
150	0.2932535568
151	0.2921853426
152	0.291482268
153	0.2903596398
154	0.289641262
155	0.2890545274
156	0.2883796478
157	0.2876768102
158	0.2865467817
159	0.285495409
160	0.2839933676
161	0.282886787
162	0.2824054935
163	0.2811049621
164	0.2800432932
165	0.2787770367
166	0.2778638444
167	0.2765151594
168	0.2751774444
169	0.2740362715
170	0.2726861612
171	0.2718288555
172	0.2711687663
173	0.2695977595
174	0.2689517026
175	0.2679625646
176	0.2673379145
177	0.2663832368
178	0.264585083
179	0.2636776544
180	0.2628071242
