iter	Passed	Remaining
0	33	33177
1	53	26714
2	72	24193
3	96	23951
4	121	24092
5	138	22917
6	165	23517
7	187	23245
8	221	24405
9	259	25697
10	291	26207
11	322	26546
12	344	26180
13	383	26980
14	427	28066
15	477	29368
16	507	29349
17	534	29167
18	560	28956
19	584	28654
20	615	28699
21	651	28940
22	688	29240
23	728	29613
24	752	29354
25	782	29329
26	813	29329
27	846	29397
28	899	30127
29	933	30194
30	965	30180
31	993	30062
32	1024	30035
33	1061	30157
34	1093	30161
35	1136	30439
36	1162	30261
37	1195	30267
38	1286	31699
39	1323	31771
40	1373	32128
41	1408	32136
42	1452	32326
43	1485	32281
44	1510	32054
45	1540	31956
46	1562	31682
47	1628	32295
48	1650	32028
49	1673	31787
50	1709	31811
51	1742	31760
52	1774	31710
53	1804	31610
54	1839	31610
55	1882	31734
56	1909	31585
57	1933	31406
58	1967	31375
59	1997	31292
60	2021	31119
61	2070	31326
62	2097	31196
63	2127	31111
64	2155	31002
65	2187	30958
66	2214	30832
67	2242	30735
68	2288	30875
69	2323	30865
70	2348	30733
71	2383	30719
72	2415	30667
73	2444	30591
74	2475	30525
75	2514	30566
76	2553	30605
77	2584	30553
78	2621	30557
79	2650	30479
80	2684	30459
81	2717	30425
82	2750	30388
83	2780	30316
84	2808	30228
85	2839	30177
86	2866	30078
87	2893	29988
88	2928	29980
89	2987	30204
90	3093	30905
91	3189	31483
92	3241	31612
93	3274	31559
94	3338	31802
95	3387	31894
96	3452	32136
97	3498	32203
98	3532	32144
99	3587	32284
100	3627	32285
101	3663	32251
102	3714	32351
103	3763	32428
104	3813	32504
105	3849	32469
106	3913	32660
107	3943	32573
108	3976	32502
109	4006	32413
110	4039	32348
111	4070	32274
112	4098	32168
113	4125	32065
114	4148	31924
115	4177	31834
116	4206	31748
117	4231	31626
118	4256	31511
119	4281	31397
120	4306	31283
121	4334	31194
122	4371	31169
123	4405	31120
124	4431	31018
125	4458	30929
126	4585	31518
127	4888	33301
128	5054	34126
129	5127	34315
130	5168	34288
131	5208	34251
132	5351	34885
133	5426	35068
134	5481	35123
135	5566	35365
136	5607	35320
137	5641	35240
138	5669	35119
139	5700	35020
140	5734	34933
141	5770	34864
142	5809	34817
143	5843	34733
144	5869	34611
145	5896	34491
146	5924	34377
147	5953	34272
148	5991	34218
149	6018	34106
150	6056	34051
151	6104	34055
152	6141	33998
153	6179	33946
154	6219	33904
155	6310	34141
156	6342	34056
157	6372	33957
158	6402	33867
159	6441	33818
160	6469	33711
161	6502	33635
162	6537	33567
163	6565	33469
164	6584	33319
165	6611	33216
166	6634	33093
167	6662	32994
168	6680	32850
169	6706	32742
170	6741	32681
171	6766	32571
172	6798	32499
173	6815	32354
174	6835	32224
175	6861	32126
176	6891	32044
177	6919	31952
178	6952	31886
179	6989	31839
180	7025	31788
181	7062	31741
182	7106	31728
183	7130	31620
184	7155	31524
185	7182	31431
186	7208	31337
187	7239	31267
188	7259	31150
189	7304	31139
190	7325	31029
191	7350	30933
192	7375	30839
193	7402	30753
194	7423	30645
195	7455	30582
196	7490	30531
197	7532	30512
198	7558	30423
199	7589	30357
200	7614	30266
201	7662	30270
202	7690	30194
203	7730	30165
204	7772	30142
205	7802	30074
206	7830	29999
207	7861	29935
208	7885	29843
209	7910	29757
210	7933	29667
211	7962	29597
212	7986	29509
213	8008	29414
214	8032	29327
215	8059	29253
216	8089	29190
217	8123	29140
218	8166	29123
219	8206	29096
220	8242	29054
221	8278	29012
222	8322	28999
223	8360	28964
224	8444	29086
225	8496	29097
226	8525	29030
227	8557	28975
228	8596	28942
229	8631	28896
230	8664	28845
231	8699	28797
232	8723	28716
233	8756	28664
234	8788	28609
235	8828	28578
236	8858	28519
237	8882	28438
238	8902	28345
239	8932	28286
240	8966	28238
241	8998	28183
242	9028	28124
243	9075	28120
244	9108	28067
245	9139	28012
246	9167	27948
247	9220	27958
248	9258	27925
249	9277	27833
250	9310	27783
251	9347	27744
252	9380	27695
253	9409	27635
254	9442	27586
255	9469	27519
256	9498	27459
257	9522	27385
258	9543	27303
259	9568	27232
260	9590	27153
261	9608	27064
262	9630	26986
263	9660	26932
264	9702	26909
265	9729	26848
266	9750	26767
267	9772	26692
268	9797	26624
269	9823	26560
270	9843	26479
271	9864	26402
272	9891	26341
273	9919	26283
274	9943	26215
275	9963	26134
276	9985	26064
277	10009	25996
278	10028	25915
279	10058	25864
280	10082	25799
281	10102	25721
282	10144	25701
283	10182	25670
284	10211	25618
285	10232	25545
286	10252	25471
287	10280	25414
288	10303	25347
289	10329	25288
290	10352	25223
291	10388	25188
292	10427	25161
293	10463	25126
294	10493	25076
295	10515	25010
296	10545	24961
297	10608	24990
298	10633	24930
299	10660	24873
300	10685	24815
301	10710	24754
302	10738	24701
